Identification,Campos rupestres,Grassland,Rocky savanna,Murundus
sample,14,21,16,25
Anoplotermes_sp.,2,2,0,4
Labiotermes_emersoni,4,3,0,1
Nasutitermes_sp.,1,6,2,1
Nasutitermes_coxipoensis,4,0,0,1
Nasutitermes_arenarius,1,0,0,0
Cortaritermes_silvestrii,1,0,0,0
Ruptitermes_cangua,1,0,0,0
Apicotermitinae_sp.,0,1,0,0
Termes_ayri,0,1,0,1
Nasutitermes_kemneri,0,1,5,0
Silvestritermes_euamignathus,0,0,2,2
Procornitermes_araujoi,0,0,1,2
Heterotermes_sp.,0,3,1,0
Labiotermes_oreadicus?,0,0,1,0
Termes_nigritus,0,0,1,0
Constrictotermes_sp.,0,1,1,0
Spinitermes_sp.,0,0,1,0
Amitermes_amifer,0,0,1,0
Velocitermes_heteropterus,0,2,0,1
Cornitermes_silvestrii,0,1,0,3
Grigiotermes_hageni,0,0,0,1
Syntermes_wheeleri,0,0,0,3
Heterotermes_tenuis,0,0,0,1
Cornitermes_bequaerti,0,0,0,1
Cornitermes_cumulans,0,0,0,3
